"Cell.line" "Timepoint" "Plate" "Well" "Rep" "Batch" "Chemical.Number" "Chemical.Concentration" "Solvent" "baseline" "height" "amplitude" "notch.amp" "notch.frac" "n.peaks" "n.peaks.expected" "BPM" "peak.max.avg" "peak.max.sd" "peak.max.cv" "peak.amp.avg" "peak.amp.sd" "peak.amp.cv" "peak.spacing.avg" "peak.spacing.sd" "peak.spacing.cv" "peak.freq.avg" "peak.freq.sd" "peak.freq.cv" "peak.width.avg" "peak.width.sd" "peak.width.cv" "rise.times.avg" "rise.times.sd" "rise.times.cv" "decay.times.avg" "decay.times.sd" "decay.times.cv" "decay.rise.ratio.avg" "decay.rise.ratio.sd" "decay.rise.ratio.cv" "Total.Cells" "All.Nuclei.Mean.Integr.Itensity" "Positive.W2.Mean.Stain.Area" "Positive.W2.Mean.Stain.Integr.Intens" "Cell.Positive.W2.Mean.Stain.Area"
"2293" 1434 "90min" 1 "F4" 1 1 NA 0 "DMSO" 968.3463796 2054.604697 1086.258317 0 0 38 37.73333559 25.36856745 2076.815789 17.12885232 0.008247651 1108.46941 17.12885232 0.015452706 2.385135135 0.090227232 0.037828981 0.419842399 0.015749588 0.037513094 1.282894737 0.055782294 0.043481583 0.381578947 0.0498932 0.130754594 0.901315789 0.059259897 0.065748207 2.414473684 0.459095125 0.19014294 1798 2017204.625 750.583435 5075073.5 0.417454636
"2301" 1434 "90min" 1 "F5" 1 1 NA 0 "DMSO" 889.4422701 1935.763209 1046.320939 0 0 35 35.87579979 23.36578581 1968.714286 16.60894767 0.008436444 1079.272016 16.60894767 0.015389028 2.507352941 0.075007427 0.029914985 0.399174407 0.011975448 0.03000054 1.328571429 0.068369363 0.051460811 0.407142857 0.055429947 0.136143729 0.921428571 0.061280112 0.066505548 2.304761905 0.348867716 0.151368224 1751 1249583.625 205.339951 1032485.625 0.117270103
"2309" 1434 "90min" 1 "K10" 1 1 NA 0 "Media" 924.0841487 1925.708415 1001.624266 0 0 35 35.35074406 23.36578581 1937.914286 13.3402783 0.006883833 1013.830137 13.3402783 0.013158297 2.547794118 0.115202004 0.045216371 0.39333234 0.019133944 0.048645742 1.342857143 0.055429947 0.04127762 0.389285714 0.040350356 0.103652292 0.953571429 0.061280112 0.064263788 2.476190476 0.301528939 0.121771302 1492 2096892.25 907.803894 6391037.5 0.60844765
"2317" 1434 "90min" 1 "K11" 1 1 NA 0 "Media" 1004.835616 1915.273973 910.4383562 0 0 35 35.00780192 23.36578581 1933.828571 12.23660303 0.006327657 928.992955 12.23660303 0.013171901 2.569852941 0.082521671 0.032111437 0.389516572 0.012499883 0.03209076 1.292857143 0.060199249 0.046562955 0.385714286 0.055666323 0.144320096 0.907142857 0.055429947 0.061103878 2.411904762 0.479541779 0.19882285 1518 2143514 869.477173 6293848.5 0.572778111
"2325" 1434 "90min" 1 "K12" 1 1 NA 0 "DMSO" 948.4324853 2072.988258 1124.555773 0 0 35 35.97650007 23.36578581 2087.685714 13.75365498 0.006587991 1139.253229 13.75365498 0.012072518 2.5 0.068810235 0.027524094 0.400294855 0.011046965 0.02759707 1.317857143 0.063179084 0.047940768 0.385714286 0.03550358 0.092046319 0.932142857 0.063179084 0.067778328 2.435714286 0.267435865 0.109797716 1728 1991034.25 820.567627 5858713 0.474865525
"2333" 1434 "90min" 1 "K13" 1 1 NA 0 "DMSO" 919.035225 1994.455969 1075.420744 0 0 34 34.67196642 22.69819193 2010.911765 18.22147858 0.009061302 1091.87654 18.22147858 0.016688222 2.59469697 0.082858496 0.031933785 0.385779877 0.012227101 0.031694501 1.375 0.061545745 0.044760542 0.408088235 0.055976384 0.137167356 0.966911765 0.055976384 0.057891926 2.414215686 0.35915474 0.148766633 1461 2131775.5 893.982849 6654499.5 0.611897912
"2341" 1434 "90min" 1 "K14" 1 1 NA 0 "Media" 861.1937378 1708.473581 847.2798434 0 0 35 36.24945083 23.36578581 1726.057143 14.66677489 0.008497271 864.8634051 14.66677489 0.016958487 2.481617647 0.076204674 0.030707661 0.403331859 0.012386115 0.030709489 1.264285714 0.058876027 0.046568609 0.364285714 0.04668642 0.128158801 0.9 0.059098621 0.065665135 2.528571429 0.494224345 0.195455956 1700 2003558.875 810.252136 5906294.5 0.476618904
"2349" 1434 "90min" 1 "K15" 1 1 143 0.5 "DMSO" 853.1780822 1758.616438 905.4383562 0 0 33 33.23433883 22.03059805 1779.242424 13.50007015 0.007587538 926.0643421 13.50007015 0.014577897 2.70703125 0.087582766 0.032353807 0.36978402 0.011995892 0.032440266 1.306818182 0.063206237 0.048366512 0.375 0.054126588 0.144337567 0.931818182 0.063206237 0.067831084 2.553030303 0.533112821 0.208815705 1651 2063626.125 852.226563 6300219 0.516188106
"2357" 1434 "90min" 1 "K2" 1 1 141 25 "DMSO" 1252.291585 1252.291585 0 0 0 0 0 0 1252.291585 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA 16 4575100 614.437317 4245057.5 38.40233231
"2365" 1434 "90min" 1 "K20" 1 1 NA 0 "DMSO" 891.8317025 1833.733855 941.9021526 0 0 36 36.84757012 24.03337969 1850.25 17.18533428 0.009288115 958.4182975 17.18533428 0.017930933 2.442857143 0.097500269 0.039912391 0.409986872 0.016272008 0.039689096 1.329861111 0.074118497 0.055734013 0.392361111 0.053056387 0.135223357 0.9375 0.076181175 0.08125992 2.439814815 0.435803906 0.178621715 1683 2026134.125 832.213989 6201883 0.494482465
