Chemical.Number,Chemical.Name,Chemical.CAS,Chemical.Class,Peak_Frequency_up,Peak_Frequency_dn,Peak_Decay_Rise_Ratio_up,Peak_Frequency_zero,Total_Cells_zero,Pred.TdP.risk.5Pheno,Predicted_QT.TdP.risk_Lable,Css,seem3,seem3.u95
557,Octhilinone,26530-20-1,Pesticide,28.6731,5.626635,3.57587,300,13.8573,0.743787022,Positive,2.697,4.99E-06,2.56E-03
562,Diisobutyl_phthalate,84-69-5,Plasticizer,30.51365,125.091,1.263785,300,173.335,0.35800841,Positive,2.456,2.28E-04,1.29E-02
568,Bisphenol_AF,1478-61-1,Plasticizer,10.38875,52.91045,2.834065,300,265.0685,0.362839497,Positive,0.5642,2.92E-06,7.43E-03
574,Dichlorophen,97-23-4,Microbiocide,3.729195,39.90165,44.6049,300,9.75649,0.338343756,Positive,8.489,5.04E-07,3.88E-04
613,Fenpropathrin,39515-41-8,Pesticide,39.21845,1.028065,80.99485,98.97835,300,0.412133704,Positive,5.228,9.14E-06,3.56E-03
638,Chlorhexidine_diacetate,56-95-1,Microbiocide,125.5295,175.2845,0.114882,300,300,0.497738853,Positive,260.5,4.47E-08,3.05E-05
639,1-Dodecyl-2-pyrrolidinone,2687-96-9,Surfactant,0.6223655,173.667,3.587755,300,41.2208,0.317178598,Positive,3.59,1.42E-05,2.2
645,1-Benzylquinolinium_chloride,15619-48-4,Other,300,17.06145,4.55727,300,300,0.437493724,Positive,1.064,7.75E-06,3.16
647,Triticonazole,131983-72-7,Microbiocide,300,267.9795,0.09507115,300,300,0.464001805,Positive,1.617,4.79E-07,1.91E-04
648,Nicotinic_acid,59-67-6,Food flavor fragrance,207.4565,300,0.2528985,300,300,0.366330272,Positive,0.683,6.13E-05,17.6
657,Fenbuconazole,114369-43-6,Microbiocide,300,119.4965,2.29998,300,300,0.285845314,Positive,1.489,3.03E-07,2.50E-04
676,Prochloraz,67747-09-5,Microbiocide,222.7865,3.49379,0.702101,141.7175,300,0.711446185,Positive,2.192,1.06E-07,2.77E-05
679,Flusilazole,85509-19-9,Microbiocide,3.40703,49.033,7.39263,300,100.9445,0.34339349,Positive,4.184,2.57E-07,3.00E-04
680,Rhodamine_6G,989-38-8,Dye,19.48305,0.00451546,0.009314015,300,36.6721,0.99822086,Positive,8059,2.74E-07,1.01E-03
698,Fluazinam,79622-59-6,Microbiocide,12.6903,1.757115,16.03015,300,1.44147,0.830198892,Positive,2.842,1.12E-07,9.36E-05
700,2-Phenylphenol,90-43-7,Pesticide,113.159,25.5775,8.1708,197.575,300,0.31139426,Positive,75.12,1.86E-05,9.04E-04
733,Cyanazine,21725-46-2,Herbicide,207.001,57.4779,22.10065,300,6.97709,0.3695241,Positive,7.059,3.05E-07,1.89E-04
752,Ethofumesate,26225-79-6,Herbicide,260.2645,1.38015,2.0223,105.1435,300,0.700395198,Positive,0.4183,7.00E-06,2.52E-03
760,Perfluorodecanoic_acid,335-76-2,Solvent,131.5175,14.72635,19.0835,143.207,300,0.27773299,Positive,262.7,4.38E-10,1.91E-06
762,Fosthiazate,98886-44-3,Pesticide,300,0.09364775,4.512335,300,300,0.899198807,Positive,3.448,4.97E-07,3.23E-04
781,Lindane,58-89-9,Pesticide,127.852,0.8851395,58.79645,34.88915,300,0.367180131,Positive,132.2,1.20E-10,1.87E-09
797,Triclosan,3380-34-5,Microbiocide,0.2608085,59.7351,7.09137,300,72.42675,0.346122073,Positive,3.822,1.93E-05,3.36E-04
812,"2,5-Di-tert-butylbenzene-1,4-diol",88-58-4,Chemical intermediate,300,0.12098,300,300,300,0.635153704,Positive,22.84,3.36E-04,5.64
824,Methamidophos,10265-92-6,Pesticide,300,1.57921,1.65345,300,300,0.773518824,Positive,6.867,2.48E-06,1.66E-03
829,Flufenacet,142459-58-3,Herbicide,21.74545,28.79235,11.47805,300,201.032,0.326462833,Positive,0.2985,2.50E-07,1.19E-04
841,2-tert-Butyl-4-ethylphenol,96-70-8,Solvent,182.1555,49.4882,0.8860735,300,299.4525,0.461134958,Positive,0.4722,1.10E-05,1.28E-03
848,2-Aminoanthraquinone,117-79-3,Chemical intermediate,300,14.0796,34.25455,300,300,0.291290307,Positive,1.118,2.69E-06,1.33E-03
860,Eugenol,97-53-0,Food flavor fragrance,72.8643,24.4159,18.97575,261.0635,300,0.273886853,Positive,0.07605,9.20E-05,3.53E-01
873,Basic_Blue_7,2390-60-5,Dye,0.02931955,0.04317095,0.02884865,55.62195,0.041985,0.997105619,Positive,31.39,9.28E-08,3.39E-05
885,Dinoseb,88-85-7,Herbicide,25.92085,22.6149,52.39085,300,13.9936,0.364596359,Positive,3764,2.33E-05,6.15E-02
891,2-Anisidine,90-04-0,Chemical intermediate,300,0.002526205,3.9162,300,300,0.980742035,Positive,7.261,5.26E-06,3.45E-03
909,Benzo(b)fluoranthene,205-99-2,PAH,45.1108,300,0.7163615,300,178.587,0.310549284,Positive,25.84,2.43E-06,4.81E-04
911,Ketoconazole,65277-42-1,Microbiocide,300,0.001690855,6.14379,300,114.091,0.984859383,Positive,0.3999,6.65E-08,5.75E-05
916,Abamectin,71751-41-2,Pesticide,39.28705,22.17245,22.7317,300,300,0.280390043,Positive,3.612,NA,NA
943,Trinexapac-ethyl,95266-40-3,Herbicide,17.518,1.88593,5.412875,90.30525,0.632182,0.846413419,Positive,1.459,8.70E-07,1.25E-03
944,Caprolactam,105-60-2,Chemical intermediate,249.7,8.102415,10.1057,300,32.0526,0.57887345,Positive,4.442,9.82E-06,14.8
945,Endrin,72-20-8,Pesticide,177.7535,4.004105,2.011685,86.53585,13.3448,0.729460219,Positive,1060,6.52E-11,1.01E-09
946,Allethrin,584-79-2,Pesticide,33.72615,3.638055,99.15,206.6715,235.8235,0.33089392,Positive,568.7,1.62E-07,1.35E-05
975,Isopropalin,33820-53-0,Herbicide,231.7225,0.3329785,0.636039,300,300,0.909117574,Positive,169.5,2.83E-06,1.15E-03
976,Disulfoton,298-04-4,Pesticide,35.0952,5.80967,52.8002,108.2735,300,0.27308324,Positive,9.502,2.24E-07,6.71E-07
989,4-Nitrotoluene,99-99-0,Chemical intermediate,300,5.07845,2.378955,222.9595,300,0.609573957,Positive,0.4014,1.97E-07,4.28E-05
1031,"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)_Replicate",119-47-1,Chemical intermediate,0.004479285,300,0.05040985,300,158.311,0.559236437,Positive,6.819,3.46E-07,4.62E-04
1033,Fenpropathrin_Replicate,39515-41-8,Pesticide,13.68665,0.236755,300,300,300,0.563942034,Positive,5.228,9.14E-06,3.56E-03
