"Cell.line" "Timepoint" "Plate" "Well" "Rep" "Batch" "Chemical.Number" "Chemical.Concentration" "Solvent" "baseline" "height" "amplitude" "notch.amp" "notch.frac" "n.peaks" "n.peaks.expected" "BPM" "peak.max.avg" "peak.max.sd" "peak.max.cv" "peak.amp.avg" "peak.amp.sd" "peak.amp.cv" "peak.spacing.avg" "peak.spacing.sd" "peak.spacing.cv" "peak.freq.avg" "peak.freq.sd" "peak.freq.cv" "peak.width.avg" "peak.width.sd" "peak.width.cv" "rise.times.avg" "rise.times.sd" "rise.times.cv" "decay.times.avg" "decay.times.sd" "decay.times.cv" "decay.rise.ratio.avg" "decay.rise.ratio.sd" "decay.rise.ratio.cv" "Total.Cells" "All.Nuclei.Mean.Integr.Itensity" "Positive.W2.Mean.Stain.Area" "Positive.W2.Mean.Stain.Integr.Intens" "Cell.Positive.W2.Mean.Stain.Area"
"397" 1083 "90min" 1 "F4" 1 6 NA 0 "DMSO" 816.9686888 1521.446184 704.4774951 0 0 56 56.61257076 37.3852573 1541.357143 13.16666393 0.008542254 724.388454 13.16666393 0.018176248 1.590909091 0.07396878 0.046494662 0.62990343 0.029218805 0.046386166 0.995535714 0.05310948 0.053347639 0.3125 0.063065622 0.201809992 0.683035714 0.062904535 0.092095528 2.303571429 0.618001947 0.268279915 1836 1588570.125 593.94574 10086181 0.323499858
"398" 1083 "90min" 1 "F5" 1 6 NA 0 "DMSO" 795.6086106 1478.510763 682.9021526 0 0 55 55.04919957 36.71766342 1490.290909 12.897994 0.008654682 694.6822985 12.897994 0.018566752 1.636574074 0.081511801 0.049806362 0.612508479 0.030274835 0.049427618 1.013636364 0.046102287 0.045482077 0.318181818 0.062814863 0.197418142 0.695454545 0.062563099 0.089960012 2.306060606 0.633238814 0.274597646 1724 2102696.75 686.78418 15652516 0.398366694
"399" 1083 "90min" 1 "K10" 1 6 NA 0 "Media" 945.0136986 1876.246575 931.2328767 0 0 52 52.95866462 34.71488178 1888.942308 15.34621811 0.008124239 943.9286091 15.34621811 0.016257816 1.705882353 0.124558042 0.073016783 0.589248007 0.042614058 0.072319393 1.153846154 0.058658328 0.050837217 0.375 0.05535093 0.147602481 0.778846154 0.058658328 0.075314396 2.139423077 0.475923925 0.222454329 1692 2207440.75 721.432556 16012825 0.426378579
"400" 1083 "90min" 1 "K11" 1 6 NA 0 "Media" 898.7964775 1789.716243 890.9197652 0 0 49 50.20627099 32.71210014 1801.489796 16.19171914 0.008987961 902.6933184 16.19171914 0.017937121 1.794270833 0.087403379 0.048712478 0.558623321 0.027184572 0.048663511 1.163265306 0.058207164 0.050037738 0.380102041 0.035714286 0.093959732 0.783163265 0.061319636 0.078297386 2.083333333 0.303337912 0.145602198 1755 2235503.5 702.043213 16021958 0.400024623
"401" 1083 "90min" 1 "K12" 1 6 NA 0 "DMSO" 841.7181996 1649.340509 807.6223092 0 0 55 55.88076584 36.71766342 1667.509091 14.7496048 0.008845292 825.7908913 14.7496048 0.017861186 1.611111111 0.067234219 0.041731584 0.621760955 0.026204382 0.042145428 1.077272727 0.061288768 0.056892528 0.356818182 0.044475999 0.124646112 0.720454545 0.053595473 0.074391193 2.066666667 0.412759458 0.199722319 1777 2137322.25 719.38623 15301014 0.404831868
"402" 1083 "90min" 1 "K13" 1 6 NA 0 "DMSO" 893.4892368 1791.420744 897.9315068 0 0 53 53.50715342 35.38247566 1810.056604 15.21185658 0.008404078 916.567367 15.21185658 0.01659655 1.682692308 0.072005321 0.042791733 0.595350803 0.025410724 0.042681935 1.120283019 0.069173799 0.061746718 0.365566038 0.048095062 0.131563266 0.754716981 0.054608881 0.072356767 2.110062893 0.394870146 0.187136671 1825 2217164.5 693.574097 16009623 0.380040601
"403" 1083 "90min" 1 "K14" 1 6 NA 0 "Media" 895.5420744 1779.174168 883.6320939 0 0 48 48.78648391 32.04450626 1798.604167 16.50369344 0.009175834 903.0620923 16.50369344 0.018275259 1.848404255 0.107263929 0.058030557 0.542825968 0.032097215 0.059129844 1.190104167 0.068171323 0.057281812 0.385416667 0.043403517 0.112614529 0.8046875 0.062666003 0.077876198 2.116319444 0.318712866 0.150597712 1699 2307623.75 719.459412 16746722 0.423460513
"404" 1083 "90min" 1 "K15" 1 6 143 0.5 "DMSO" 829.8473581 1626.324853 796.4774951 0 0 49 50.1589467 32.71210014 1639.938776 15.52203832 0.009465011 810.0914174 15.52203832 0.019160848 1.796875 0.095179701 0.052969573 0.558096764 0.030413562 0.054495141 1.12755102 0.040261159 0.035706729 0.367346939 0.047104737 0.128229563 0.760204082 0.056115201 0.073815969 2.12585034 0.474195972 0.223061785 1769 2222177.5 683.938477 15535422 0.386624351
"405" 1083 "90min" 1 "K2" 1 6 141 25 "DMSO" 1483.845401 1483.845401 0 0 0 0 0 0 1483.845401 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA 177 5729780 410.538757 9523388 2.319428006
"406" 1083 "90min" 1 "K20" 1 6 NA 0 "DMSO" 814.3150685 1655.804305 841.4892368 0 0 53 53.925 35.38247566 1674.132075 17.21698372 0.010284125 859.817007 17.21698372 0.020024009 1.675480769 0.119382642 0.071252768 0.6 0.045691057 0.076151761 1.096698113 0.052814474 0.048157714 0.356132075 0.045177444 0.126855869 0.740566038 0.041378418 0.055874042 2.128930818 0.414277135 0.194593986 1905 2300225.75 698.0401 15788061 0.366425249
"407" 1083 "90min" 1 "K21" 1 6 NA 0 "DMSO" 840.2074364 1715.009785 874.8023483 0 0 53 53.91487039 35.38247566 1729.283019 14.64368774 0.008468069 889.0755825 14.64368774 0.016470689 1.670673077 0.078390856 0.046921721 0.599887292 0.028857251 0.048104454 1.089622642 0.056847037 0.052171307 0.349056604 0.056747218 0.162573111 0.740566038 0.041378418 0.055874042 2.196540881 0.484562523 0.220602552 1942 2176522.25 686.702026 14578097 0.353605575
"408" 1083 "90min" 1 "K22" 1 6 144 0.1 "DMSO" 881.4657534 881.4657534 0 0 0 0 0 0 881.4657534 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA 1800 2436325.5 682.33905 16421237 0.37907725
"409" 1083 "90min" 1 "K23" 1 6 141 25 "DMSO" 1414.246575 1414.246575 0 0 0 0 0 0 1414.246575 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA 343 5973982 385.490112 8888619 1.123877878
"410" 1083 "90min" 1 "K3" 1 6 144 0.1 "DMSO" 974.4422701 974.4422701 0 0 0 0 0 0 974.4422701 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA 1720 1989966.5 571.890747 13134923 0.33249462
"411" 1083 "90min" 1 "K4" 1 6 NA 0 "DMSO" 921.3600783 1872.318982 950.9589041 0 0 55 55.39304368 36.71766342 1886.727273 15.88669901 0.008420241 965.3671944 15.88669901 0.016456639 1.625 0.064244521 0.03953509 0.616334283 0.024527681 0.039796067 1.077272727 0.070097935 0.065069813 0.343181818 0.054952535 0.160126593 0.734090909 0.063894378 0.087038782 2.218181818 0.532747293 0.24017296 1711 1919425.5 651.459717 13706180 0.380747935
