"","lp__","accept_stat__","stepsize__","treedepth__","n_leapfrog__","divergent__","energy__","m_y0","m_x0","m_Emax","m_n","sigma_y","y0.1","y0.2","x0.1","x0.2","Emax.1","Emax.2","n.1","n.2","ec99.1","ec99.2","ec95.1","ec95.2","ec50.1","ec50.2","ec10.1","ec10.2","ec05.1","ec05.2","ec025.1","ec025.2","ec01.1","ec01.2","ec99_median","ec95_median","ec50_median","ec10_median","ec05_median","ec025_median","ec01_median","ec99_quants.1","ec99_quants.2","ec99_quants.3","ec99_quants.4","ec99_quants.5","ec99_quants.6","ec99_quants.7","ec99_quants.8","ec99_quants.9","ec99_quants.10","ec99_quants.11","ec99_quant_ratios.1","ec99_quant_ratios.2","ec99_quant_ratios.3","ec99_quant_ratios.4","ec99_quant_ratios.5","ec99_quant_ratios.6","ec99_quant_ratios.7","ec99_quant_ratios.8","ec99_quant_ratios.9","ec99_quant_ratios.10","ec99_quant_ratios.11","ec95_quants.1","ec95_quants.2","ec95_quants.3","ec95_quants.4","ec95_quants.5","ec95_quants.6","ec95_quants.7","ec95_quants.8","ec95_quants.9","ec95_quants.10","ec95_quants.11","ec95_quant_ratios.1","ec95_quant_ratios.2","ec95_quant_ratios.3","ec95_quant_ratios.4","ec95_quant_ratios.5","ec95_quant_ratios.6","ec95_quant_ratios.7","ec95_quant_ratios.8","ec95_quant_ratios.9","ec95_quant_ratios.10","ec95_quant_ratios.11","ec50_quants.1","ec50_quants.2","ec50_quants.3","ec50_quants.4","ec50_quants.5","ec50_quants.6","ec50_quants.7","ec50_quants.8","ec50_quants.9","ec50_quants.10","ec50_quants.11","ec50_quant_ratios.1","ec50_quant_ratios.2","ec50_quant_ratios.3","ec50_quant_ratios.4","ec50_quant_ratios.5","ec50_quant_ratios.6","ec50_quant_ratios.7","ec50_quant_ratios.8","ec50_quant_ratios.9","ec50_quant_ratios.10","ec50_quant_ratios.11","ec10_quants.1","ec10_quants.2","ec10_quants.3","ec10_quants.4","ec10_quants.5","ec10_quants.6","ec10_quants.7","ec10_quants.8","ec10_quants.9","ec10_quants.10","ec10_quants.11","ec10_quant_ratios.1","ec10_quant_ratios.2","ec10_quant_ratios.3","ec10_quant_ratios.4","ec10_quant_ratios.5","ec10_quant_ratios.6","ec10_quant_ratios.7","ec10_quant_ratios.8","ec10_quant_ratios.9","ec10_quant_ratios.10","ec10_quant_ratios.11","ec05_quants.1","ec05_quants.2","ec05_quants.3","ec05_quants.4","ec05_quants.5","ec05_quants.6","ec05_quants.7","ec05_quants.8","ec05_quants.9","ec05_quants.10","ec05_quants.11","ec05_quant_ratios.1","ec05_quant_ratios.2","ec05_quant_ratios.3","ec05_quant_ratios.4","ec05_quant_ratios.5","ec05_quant_ratios.6","ec05_quant_ratios.7","ec05_quant_ratios.8","ec05_quant_ratios.9","ec05_quant_ratios.10","ec05_quant_ratios.11","ec025_quants.1","ec025_quants.2","ec025_quants.3","ec025_quants.4","ec025_quants.5","ec025_quants.6","ec025_quants.7","ec025_quants.8","ec025_quants.9","ec025_quants.10","ec025_quants.11","ec025_quant_ratios.1","ec025_quant_ratios.2","ec025_quant_ratios.3","ec025_quant_ratios.4","ec025_quant_ratios.5","ec025_quant_ratios.6","ec025_quant_ratios.7","ec025_quant_ratios.8","ec025_quant_ratios.9","ec025_quant_ratios.10","ec025_quant_ratios.11","ec01_quants.1","ec01_quants.2","ec01_quants.3","ec01_quants.4","ec01_quants.5","ec01_quants.6","ec01_quants.7","ec01_quants.8","ec01_quants.9","ec01_quants.10","ec01_quants.11","ec01_quant_ratios.1","ec01_quant_ratios.2","ec01_quant_ratios.3","ec01_quant_ratios.4","ec01_quant_ratios.5","ec01_quant_ratios.6","ec01_quant_ratios.7","ec01_quant_ratios.8","ec01_quant_ratios.9","ec01_quant_ratios.10","ec01_quant_ratios.11"
"1","326.329",0.996821,0.0630001,5,63,0,-322.997,0.0152023,3.54937,-2.95518,0.247247,0.0903031,1.01532,1.01532,34.7912,34.7912,0.0520691,0.0520691,1.28049,1.28049,1000,1000,1000,1000,1000,1000,1000,1000,41.6281,41.6281,3.25249,3.25249,1.12695,1.12695,1000,1000,1000,1000,41.6281,3.25249,1.12695,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1,1,1,1,1,41.6281,41.6281,41.6281,41.6281,41.6281,41.6281,41.6281,41.6281,41.6281,41.6281,41.6281,1,1,1,1,1,1,1,1,1,1,1,3.25249,3.25249,3.25249,3.25249,3.25249,3.25249,3.25249,3.25249,3.25249,3.25249,3.25249,1,1,1,1,1,1,1,1,1,1,1,1.12695,1.12695,1.12695,1.12695,1.12695,1.12695,1.12695,1.12695,1.12695,1.12695,1.12695,1,1,1,1,1,1,1,1,1,1,1
"2","329.186",0.984639,0.0630001,5,63,0,-328.328,0.0124235,6.89272,6.17601,1.62309,0.0956523,1.0125,1.0125,985.08,985.08,481.068,481.068,5.06874,5.06874,983.529,983.529,975.542,975.542,859.352,859.352,625.463,625.463,545.511,545.511,475.783,475.783,397.098,397.098,983.529,975.542,859.352,625.463,545.511,475.783,397.098,983.529,983.529,983.529,983.529,983.529,983.529,983.529,983.529,983.529,983.529,983.529,1,1,1,1,1,1,1,1,1,1,1,975.542,975.542,975.542,975.542,975.542,975.542,975.542,975.542,975.542,975.542,975.542,1,1,1,1,1,1,1,1,1,1,1,859.352,859.352,859.352,859.352,859.352,859.352,859.352,859.352,859.352,859.352,859.352,1,1,1,1,1,1,1,1,1,1,1,625.463,625.463,625.463,625.463,625.463,625.463,625.463,625.463,625.463,625.463,625.463,1,1,1,1,1,1,1,1,1,1,1,545.511,545.511,545.511,545.511,545.511,545.511,545.511,545.511,545.511,545.511,545.511,1,1,1,1,1,1,1,1,1,1,1,475.783,475.783,475.783,475.783,475.783,475.783,475.783,475.783,475.783,475.783,475.783,1,1,1,1,1,1,1,1,1,1,1,397.098,397.098,397.098,397.098,397.098,397.098,397.098,397.098,397.098,397.098,397.098,1,1,1,1,1,1,1,1,1,1,1
"3","320.373",0.997768,0.0630001,5,63,0,-316.643,0.0179881,-1.46816,-2.99141,0.939664,0.110545,1.01815,1.01815,0.230348,0.230348,0.0502163,0.0502163,2.55912,2.55912,1000,1000,1000,1000,1000,1000,1000,1000,0.600365,0.600365,0.0713289,0.0713289,0.0415482,0.0415482,1000,1000,1000,1000,0.600365,0.0713289,0.0415482,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1,1,1,1,1,0.600365,0.600365,0.600365,0.600365,0.600365,0.600365,0.600365,0.600365,0.600365,0.600365,0.600365,1,1,1,1,1,1,1,1,1,1,1,0.0713289,0.0713289,0.0713289,0.0713289,0.0713289,0.0713289,0.0713289,0.0713289,0.0713289,0.0713289,0.0713289,1,1,1,1,1,1,1,1,1,1,1,0.0415482,0.0415482,0.0415482,0.0415482,0.0415482,0.0415482,0.0415482,0.0415482,0.0415482,0.0415482,0.0415482,1,1,1,1,1,1,1,1,1,1,1
"4","329.029",0.998939,0.0630001,4,15,0,-328.864,0.011923,8.06935,0.716516,-0.223854,0.102705,1.01199,1.01199,3195.01,3195.01,2.04729,2.04729,0.799432,0.799432,7211.07,7211.07,6537.64,6537.64,1905.62,1905.62,190.893,190.893,77.7074,77.7074,32.1477,32.1477,10.1241,10.1241,7211.07,6537.64,1905.62,190.893,77.7074,32.1477,10.1241,7211.07,7211.07,7211.07,7211.07,7211.07,7211.07,7211.07,7211.07,7211.07,7211.07,7211.07,1,1,1,1,1,1,1,1,1,1,1,6537.64,6537.64,6537.64,6537.64,6537.64,6537.64,6537.64,6537.64,6537.64,6537.64,6537.64,1,1,1,1,1,1,1,1,1,1,1,1905.62,1905.62,1905.62,1905.62,1905.62,1905.62,1905.62,1905.62,1905.62,1905.62,1905.62,1,1,1,1,1,1,1,1,1,1,1,190.893,190.893,190.893,190.893,190.893,190.893,190.893,190.893,190.893,190.893,190.893,1,1,1,1,1,1,1,1,1,1,1,77.7074,77.7074,77.7074,77.7074,77.7074,77.7074,77.7074,77.7074,77.7074,77.7074,77.7074,1,1,1,1,1,1,1,1,1,1,1,32.1477,32.1477,32.1477,32.1477,32.1477,32.1477,32.1477,32.1477,32.1477,32.1477,32.1477,1,1,1,1,1,1,1,1,1,1,1,10.1241,10.1241,10.1241,10.1241,10.1241,10.1241,10.1241,10.1241,10.1241,10.1241,10.1241,1,1,1,1,1,1,1,1,1,1,1
"5","328.932",0.997658,0.0630001,5,39,0,-327.351,0.010104,8.09765,5.36314,0.827441,0.079642,1.01016,1.01016,3286.74,3286.74,213.393,213.393,2.28746,2.28746,3278.99,3278.99,3220.13,3220.13,2430.02,2430.02,1201.4,1201.4,887.244,887.244,655.27,655.27,438.976,438.976,3278.99,3220.13,2430.02,1201.4,887.244,655.27,438.976,3278.99,3278.99,3278.99,3278.99,3278.99,3278.99,3278.99,3278.99,3278.99,3278.99,3278.99,1,1,1,1,1,1,1,1,1,1,1,3220.13,3220.13,3220.13,3220.13,3220.13,3220.13,3220.13,3220.13,3220.13,3220.13,3220.13,1,1,1,1,1,1,1,1,1,1,1,2430.02,2430.02,2430.02,2430.02,2430.02,2430.02,2430.02,2430.02,2430.02,2430.02,2430.02,1,1,1,1,1,1,1,1,1,1,1,1201.4,1201.4,1201.4,1201.4,1201.4,1201.4,1201.4,1201.4,1201.4,1201.4,1201.4,1,1,1,1,1,1,1,1,1,1,1,887.244,887.244,887.244,887.244,887.244,887.244,887.244,887.244,887.244,887.244,887.244,1,1,1,1,1,1,1,1,1,1,1,655.27,655.27,655.27,655.27,655.27,655.27,655.27,655.27,655.27,655.27,655.27,1,1,1,1,1,1,1,1,1,1,1,438.976,438.976,438.976,438.976,438.976,438.976,438.976,438.976,438.976,438.976,438.976,1,1,1,1,1,1,1,1,1,1,1
"6","327.786",0.996106,0.0630001,5,63,0,-326.872,0.00914688,9.16938,-1.98861,0.382185,0.0807353,1.00919,1.00919,9598.69,9598.69,0.136885,0.136885,1.46548,1.46548,1000,1000,1000,1000,1000,1000,4880.39,4880.39,1694.87,1694.87,888.753,888.753,436.472,436.472,1000,1000,1000,4880.39,1694.87,888.753,436.472,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1,1,1,1,1,4880.39,4880.39,4880.39,4880.39,4880.39,4880.39,4880.39,4880.39,4880.39,4880.39,4880.39,1,1,1,1,1,1,1,1,1,1,1,1694.87,1694.87,1694.87,1694.87,1694.87,1694.87,1694.87,1694.87,1694.87,1694.87,1694.87,1,1,1,1,1,1,1,1,1,1,1,888.753,888.753,888.753,888.753,888.753,888.753,888.753,888.753,888.753,888.753,888.753,1,1,1,1,1,1,1,1,1,1,1,436.472,436.472,436.472,436.472,436.472,436.472,436.472,436.472,436.472,436.472,436.472,1,1,1,1,1,1,1,1,1,1,1
"7","329.062",0.996691,0.0630001,5,63,0,-327.093,0.00963121,7.97684,-0.422535,0.96393,0.100955,1.00968,1.00968,2912.7,2912.7,0.655384,0.655384,2.62198,2.62198,1000,1000,1000,1000,3871.59,3871.59,1289.22,1289.22,957.721,957.721,723.98,723.98,505.895,505.895,1000,1000,3871.59,1289.22,957.721,723.98,505.895,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1,1,1,1,1,3871.59,3871.59,3871.59,3871.59,3871.59,3871.59,3871.59,3871.59,3871.59,3871.59,3871.59,1,1,1,1,1,1,1,1,1,1,1,1289.22,1289.22,1289.22,1289.22,1289.22,1289.22,1289.22,1289.22,1289.22,1289.22,1289.22,1,1,1,1,1,1,1,1,1,1,1,957.721,957.721,957.721,957.721,957.721,957.721,957.721,957.721,957.721,957.721,957.721,1,1,1,1,1,1,1,1,1,1,1,723.98,723.98,723.98,723.98,723.98,723.98,723.98,723.98,723.98,723.98,723.98,1,1,1,1,1,1,1,1,1,1,1,505.895,505.895,505.895,505.895,505.895,505.895,505.895,505.895,505.895,505.895,505.895,1,1,1,1,1,1,1,1,1,1,1
"8","329.028",0.76922,0.0630001,5,47,0,-324.869,0.00637296,9.39487,0.864489,1.34226,0.0870836,1.00639,1.00639,12026.5,12026.5,2.37379,2.37379,3.82768,3.82768,13811.1,13811.1,13561.8,13561.8,10674.1,10674.1,6664.49,6664.49,5529.08,5529.08,4600.38,4600.38,3614.99,3614.99,13811.1,13561.8,10674.1,6664.49,5529.08,4600.38,3614.99,13811.1,13811.1,13811.1,13811.1,13811.1,13811.1,13811.1,13811.1,13811.1,13811.1,13811.1,1,1,1,1,1,1,1,1,1,1,1,13561.8,13561.8,13561.8,13561.8,13561.8,13561.8,13561.8,13561.8,13561.8,13561.8,13561.8,1,1,1,1,1,1,1,1,1,1,1,10674.1,10674.1,10674.1,10674.1,10674.1,10674.1,10674.1,10674.1,10674.1,10674.1,10674.1,1,1,1,1,1,1,1,1,1,1,1,6664.49,6664.49,6664.49,6664.49,6664.49,6664.49,6664.49,6664.49,6664.49,6664.49,6664.49,1,1,1,1,1,1,1,1,1,1,1,5529.08,5529.08,5529.08,5529.08,5529.08,5529.08,5529.08,5529.08,5529.08,5529.08,5529.08,1,1,1,1,1,1,1,1,1,1,1,4600.38,4600.38,4600.38,4600.38,4600.38,4600.38,4600.38,4600.38,4600.38,4600.38,4600.38,1,1,1,1,1,1,1,1,1,1,1,3614.99,3614.99,3614.99,3614.99,3614.99,3614.99,3614.99,3614.99,3614.99,3614.99,3614.99,1,1,1,1,1,1,1,1,1,1,1
"9","327.975",0.997914,0.0630001,6,63,0,-319.636,0.0107195,7.67312,3.15141,0.197417,0.109424,1.01078,1.01078,2149.78,2149.78,23.3691,23.3691,1.21825,1.21825,2209.24,2209.24,2132.57,2132.57,1238.81,1238.81,325.892,325.892,184.166,184.166,104.166,104.166,49.0737,49.0737,2209.24,2132.57,1238.81,325.892,184.166,104.166,49.0737,2209.24,2209.24,2209.24,2209.24,2209.24,2209.24,2209.24,2209.24,2209.24,2209.24,2209.24,1,1,1,1,1,1,1,1,1,1,1,2132.57,2132.57,2132.57,2132.57,2132.57,2132.57,2132.57,2132.57,2132.57,2132.57,2132.57,1,1,1,1,1,1,1,1,1,1,1,1238.81,1238.81,1238.81,1238.81,1238.81,1238.81,1238.81,1238.81,1238.81,1238.81,1238.81,1,1,1,1,1,1,1,1,1,1,1,325.892,325.892,325.892,325.892,325.892,325.892,325.892,325.892,325.892,325.892,325.892,1,1,1,1,1,1,1,1,1,1,1,184.166,184.166,184.166,184.166,184.166,184.166,184.166,184.166,184.166,184.166,184.166,1,1,1,1,1,1,1,1,1,1,1,104.166,104.166,104.166,104.166,104.166,104.166,104.166,104.166,104.166,104.166,104.166,1,1,1,1,1,1,1,1,1,1,1,49.0737,49.0737,49.0737,49.0737,49.0737,49.0737,49.0737,49.0737,49.0737,49.0737,49.0737,1,1,1,1,1,1,1,1,1,1,1
"10","329.003",0.998554,0.0630001,5,63,0,-319.967,0.0249991,6.9163,-0.657694,0.592346,0.0955143,1.02531,1.02531,1008.58,1008.58,0.518044,0.518044,1.80823,1.80823,1000,1000,1000,1000,4401.11,4401.11,317.83,317.83,203.509,203.509,134.774,134.774,79.8613,79.8613,1000,1000,4401.11,317.83,203.509,134.774,79.8613,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1,1,1,1,1,4401.11,4401.11,4401.11,4401.11,4401.11,4401.11,4401.11,4401.11,4401.11,4401.11,4401.11,1,1,1,1,1,1,1,1,1,1,1,317.83,317.83,317.83,317.83,317.83,317.83,317.83,317.83,317.83,317.83,317.83,1,1,1,1,1,1,1,1,1,1,1,203.509,203.509,203.509,203.509,203.509,203.509,203.509,203.509,203.509,203.509,203.509,1,1,1,1,1,1,1,1,1,1,1,134.774,134.774,134.774,134.774,134.774,134.774,134.774,134.774,134.774,134.774,134.774,1,1,1,1,1,1,1,1,1,1,1,79.8613,79.8613,79.8613,79.8613,79.8613,79.8613,79.8613,79.8613,79.8613,79.8613,79.8613,1,1,1,1,1,1,1,1,1,1,1
