"","lp__","accept_stat__","stepsize__","treedepth__","n_leapfrog__","divergent__","energy__","m_y0","m_x0","m_Emax","m_n","sigma_y","y0.1","y0.2","x0.1","x0.2","Emax.1","Emax.2","n.1","n.2","ec99.1","ec99.2","ec95.1","ec95.2","ec50.1","ec50.2","ec10.1","ec10.2","ec05.1","ec05.2","ec025.1","ec025.2","ec01.1","ec01.2","ec99_median","ec95_median","ec50_median","ec10_median","ec05_median","ec025_median","ec01_median","ec99_quants.1","ec99_quants.2","ec99_quants.3","ec99_quants.4","ec99_quants.5","ec99_quants.6","ec99_quants.7","ec99_quants.8","ec99_quants.9","ec99_quants.10","ec99_quants.11","ec99_quant_ratios.1","ec99_quant_ratios.2","ec99_quant_ratios.3","ec99_quant_ratios.4","ec99_quant_ratios.5","ec99_quant_ratios.6","ec99_quant_ratios.7","ec99_quant_ratios.8","ec99_quant_ratios.9","ec99_quant_ratios.10","ec99_quant_ratios.11","ec95_quants.1","ec95_quants.2","ec95_quants.3","ec95_quants.4","ec95_quants.5","ec95_quants.6","ec95_quants.7","ec95_quants.8","ec95_quants.9","ec95_quants.10","ec95_quants.11","ec95_quant_ratios.1","ec95_quant_ratios.2","ec95_quant_ratios.3","ec95_quant_ratios.4","ec95_quant_ratios.5","ec95_quant_ratios.6","ec95_quant_ratios.7","ec95_quant_ratios.8","ec95_quant_ratios.9","ec95_quant_ratios.10","ec95_quant_ratios.11","ec50_quants.1","ec50_quants.2","ec50_quants.3","ec50_quants.4","ec50_quants.5","ec50_quants.6","ec50_quants.7","ec50_quants.8","ec50_quants.9","ec50_quants.10","ec50_quants.11","ec50_quant_ratios.1","ec50_quant_ratios.2","ec50_quant_ratios.3","ec50_quant_ratios.4","ec50_quant_ratios.5","ec50_quant_ratios.6","ec50_quant_ratios.7","ec50_quant_ratios.8","ec50_quant_ratios.9","ec50_quant_ratios.10","ec50_quant_ratios.11","ec10_quants.1","ec10_quants.2","ec10_quants.3","ec10_quants.4","ec10_quants.5","ec10_quants.6","ec10_quants.7","ec10_quants.8","ec10_quants.9","ec10_quants.10","ec10_quants.11","ec10_quant_ratios.1","ec10_quant_ratios.2","ec10_quant_ratios.3","ec10_quant_ratios.4","ec10_quant_ratios.5","ec10_quant_ratios.6","ec10_quant_ratios.7","ec10_quant_ratios.8","ec10_quant_ratios.9","ec10_quant_ratios.10","ec10_quant_ratios.11","ec05_quants.1","ec05_quants.2","ec05_quants.3","ec05_quants.4","ec05_quants.5","ec05_quants.6","ec05_quants.7","ec05_quants.8","ec05_quants.9","ec05_quants.10","ec05_quants.11","ec05_quant_ratios.1","ec05_quant_ratios.2","ec05_quant_ratios.3","ec05_quant_ratios.4","ec05_quant_ratios.5","ec05_quant_ratios.6","ec05_quant_ratios.7","ec05_quant_ratios.8","ec05_quant_ratios.9","ec05_quant_ratios.10","ec05_quant_ratios.11","ec025_quants.1","ec025_quants.2","ec025_quants.3","ec025_quants.4","ec025_quants.5","ec025_quants.6","ec025_quants.7","ec025_quants.8","ec025_quants.9","ec025_quants.10","ec025_quants.11","ec025_quant_ratios.1","ec025_quant_ratios.2","ec025_quant_ratios.3","ec025_quant_ratios.4","ec025_quant_ratios.5","ec025_quant_ratios.6","ec025_quant_ratios.7","ec025_quant_ratios.8","ec025_quant_ratios.9","ec025_quant_ratios.10","ec025_quant_ratios.11","ec01_quants.1","ec01_quants.2","ec01_quants.3","ec01_quants.4","ec01_quants.5","ec01_quants.6","ec01_quants.7","ec01_quants.8","ec01_quants.9","ec01_quants.10","ec01_quants.11","ec01_quant_ratios.1","ec01_quant_ratios.2","ec01_quant_ratios.3","ec01_quant_ratios.4","ec01_quant_ratios.5","ec01_quant_ratios.6","ec01_quant_ratios.7","ec01_quant_ratios.8","ec01_quant_ratios.9","ec01_quant_ratios.10","ec01_quant_ratios.11"
"1","111.798",0.994171,0.0197203,7,127,0,-104.239,0.014859,2.18463,2.66443,0.401513,0.043185,1.01497,1.01497,8.88732,8.88732,14.3597,14.3597,1.49408,1.49408,9.26006,9.26006,8.98994,8.98994,5.72257,5.72257,1.91203,1.91203,1.19949,1.19949,0.753369,0.753369,0.407718,0.407718,9.26006,8.98994,5.72257,1.91203,1.19949,0.753369,0.407718,9.26006,9.26006,9.26006,9.26006,9.26006,9.26006,9.26006,9.26006,9.26006,9.26006,9.26006,1,1,1,1,1,1,1,1,1,1,1,8.98994,8.98994,8.98994,8.98994,8.98994,8.98994,8.98994,8.98994,8.98994,8.98994,8.98994,1,1,1,1,1,1,1,1,1,1,1,5.72257,5.72257,5.72257,5.72257,5.72257,5.72257,5.72257,5.72257,5.72257,5.72257,5.72257,1,1,1,1,1,1,1,1,1,1,1,1.91203,1.91203,1.91203,1.91203,1.91203,1.91203,1.91203,1.91203,1.91203,1.91203,1.91203,1,1,1,1,1,1,1,1,1,1,1,1.19949,1.19949,1.19949,1.19949,1.19949,1.19949,1.19949,1.19949,1.19949,1.19949,1.19949,1,1,1,1,1,1,1,1,1,1,1,0.753369,0.753369,0.753369,0.753369,0.753369,0.753369,0.753369,0.753369,0.753369,0.753369,0.753369,1,1,1,1,1,1,1,1,1,1,1,0.407718,0.407718,0.407718,0.407718,0.407718,0.407718,0.407718,0.407718,0.407718,0.407718,0.407718,1,1,1,1,1,1,1,1,1,1,1
"2","112.231",0.992324,0.0197203,4,31,0,-111.579,0.0100137,2.22367,3.65308,0.557113,0.0493802,1.01006,1.01006,9.24121,9.24121,38.5935,38.5935,1.74563,1.74563,9.32596,9.32596,9.10266,9.10266,6.25928,6.25928,2.47465,2.47465,1.66243,1.66243,1.1172,1.1172,0.660803,0.660803,9.32596,9.10266,6.25928,2.47465,1.66243,1.1172,0.660803,9.32596,9.32596,9.32596,9.32596,9.32596,9.32596,9.32596,9.32596,9.32596,9.32596,9.32596,1,1,1,1,1,1,1,1,1,1,1,9.10266,9.10266,9.10266,9.10266,9.10266,9.10266,9.10266,9.10266,9.10266,9.10266,9.10266,1,1,1,1,1,1,1,1,1,1,1,6.25928,6.25928,6.25928,6.25928,6.25928,6.25928,6.25928,6.25928,6.25928,6.25928,6.25928,1,1,1,1,1,1,1,1,1,1,1,2.47465,2.47465,2.47465,2.47465,2.47465,2.47465,2.47465,2.47465,2.47465,2.47465,2.47465,1,1,1,1,1,1,1,1,1,1,1,1.66243,1.66243,1.66243,1.66243,1.66243,1.66243,1.66243,1.66243,1.66243,1.66243,1.66243,1,1,1,1,1,1,1,1,1,1,1,1.1172,1.1172,1.1172,1.1172,1.1172,1.1172,1.1172,1.1172,1.1172,1.1172,1.1172,1,1,1,1,1,1,1,1,1,1,1,0.660803,0.660803,0.660803,0.660803,0.660803,0.660803,0.660803,0.660803,0.660803,0.660803,0.660803,1,1,1,1,1,1,1,1,1,1,1
"3","111.324",0.999075,0.0197203,7,127,0,-108.661,0.00122475,1.98464,0.765981,0.91824,0.0527194,1.00123,1.00123,7.27644,7.27644,2.1511,2.1511,2.50488,2.50488,9.27009,9.27009,8.99624,8.99624,6.13207,6.13207,2.95768,2.95768,2.22125,2.22125,1.67637,1.67637,1.15954,1.15954,9.27009,8.99624,6.13207,2.95768,2.22125,1.67637,1.15954,9.27009,9.27009,9.27009,9.27009,9.27009,9.27009,9.27009,9.27009,9.27009,9.27009,9.27009,1,1,1,1,1,1,1,1,1,1,1,8.99624,8.99624,8.99624,8.99624,8.99624,8.99624,8.99624,8.99624,8.99624,8.99624,8.99624,1,1,1,1,1,1,1,1,1,1,1,6.13207,6.13207,6.13207,6.13207,6.13207,6.13207,6.13207,6.13207,6.13207,6.13207,6.13207,1,1,1,1,1,1,1,1,1,1,1,2.95768,2.95768,2.95768,2.95768,2.95768,2.95768,2.95768,2.95768,2.95768,2.95768,2.95768,1,1,1,1,1,1,1,1,1,1,1,2.22125,2.22125,2.22125,2.22125,2.22125,2.22125,2.22125,2.22125,2.22125,2.22125,2.22125,1,1,1,1,1,1,1,1,1,1,1,1.67637,1.67637,1.67637,1.67637,1.67637,1.67637,1.67637,1.67637,1.67637,1.67637,1.67637,1,1,1,1,1,1,1,1,1,1,1,1.15954,1.15954,1.15954,1.15954,1.15954,1.15954,1.15954,1.15954,1.15954,1.15954,1.15954,1,1,1,1,1,1,1,1,1,1,1
"4","110.675",0.996049,0.0197203,7,127,0,-107.486,-0.00132661,2.22881,3.75742,0.796819,0.0422548,0.998674,0.998674,9.28884,9.28884,42.8379,42.8379,2.21847,2.21847,9.34483,9.34483,9.16875,9.16875,6.83231,6.83231,3.29351,3.29351,2.40845,2.40845,1.76169,1.76169,1.16543,1.16543,9.34483,9.16875,6.83231,3.29351,2.40845,1.76169,1.16543,9.34483,9.34483,9.34483,9.34483,9.34483,9.34483,9.34483,9.34483,9.34483,9.34483,9.34483,1,1,1,1,1,1,1,1,1,1,1,9.16875,9.16875,9.16875,9.16875,9.16875,9.16875,9.16875,9.16875,9.16875,9.16875,9.16875,1,1,1,1,1,1,1,1,1,1,1,6.83231,6.83231,6.83231,6.83231,6.83231,6.83231,6.83231,6.83231,6.83231,6.83231,6.83231,1,1,1,1,1,1,1,1,1,1,1,3.29351,3.29351,3.29351,3.29351,3.29351,3.29351,3.29351,3.29351,3.29351,3.29351,3.29351,1,1,1,1,1,1,1,1,1,1,1,2.40845,2.40845,2.40845,2.40845,2.40845,2.40845,2.40845,2.40845,2.40845,2.40845,2.40845,1,1,1,1,1,1,1,1,1,1,1,1.76169,1.76169,1.76169,1.76169,1.76169,1.76169,1.76169,1.76169,1.76169,1.76169,1.76169,1,1,1,1,1,1,1,1,1,1,1,1.16543,1.16543,1.16543,1.16543,1.16543,1.16543,1.16543,1.16543,1.16543,1.16543,1.16543,1,1,1,1,1,1,1,1,1,1,1
"5","110.079",0.997848,0.0197203,7,159,0,-104.526,0.00690054,2.07586,1.35774,0.808442,0.0561716,1.00692,1.00692,7.97141,7.97141,3.88742,3.88742,2.24441,2.24441,9.04618,9.04618,8.82737,8.82737,6.22374,6.22374,2.89085,2.89085,2.1104,2.1104,1.54519,1.54519,1.02549,1.02549,9.04618,8.82737,6.22374,2.89085,2.1104,1.54519,1.02549,9.04618,9.04618,9.04618,9.04618,9.04618,9.04618,9.04618,9.04618,9.04618,9.04618,9.04618,1,1,1,1,1,1,1,1,1,1,1,8.82737,8.82737,8.82737,8.82737,8.82737,8.82737,8.82737,8.82737,8.82737,8.82737,8.82737,1,1,1,1,1,1,1,1,1,1,1,6.22374,6.22374,6.22374,6.22374,6.22374,6.22374,6.22374,6.22374,6.22374,6.22374,6.22374,1,1,1,1,1,1,1,1,1,1,1,2.89085,2.89085,2.89085,2.89085,2.89085,2.89085,2.89085,2.89085,2.89085,2.89085,2.89085,1,1,1,1,1,1,1,1,1,1,1,2.1104,2.1104,2.1104,2.1104,2.1104,2.1104,2.1104,2.1104,2.1104,2.1104,2.1104,1,1,1,1,1,1,1,1,1,1,1,1.54519,1.54519,1.54519,1.54519,1.54519,1.54519,1.54519,1.54519,1.54519,1.54519,1.54519,1,1,1,1,1,1,1,1,1,1,1,1.02549,1.02549,1.02549,1.02549,1.02549,1.02549,1.02549,1.02549,1.02549,1.02549,1.02549,1,1,1,1,1,1,1,1,1,1,1
"6","110.753",0.999283,0.0197203,6,79,0,-108.971,0.00353357,2.30251,4.07678,-0.0579174,0.0419063,1.00354,1.00354,9.99926,9.99926,58.9554,58.9554,0.943728,0.943728,10.0725,10.0725,9.63471,9.63471,4.84069,4.84069,0.873216,0.873216,0.418554,0.418554,0.200713,0.200713,0.075996,0.075996,10.0725,9.63471,4.84069,0.873216,0.418554,0.200713,0.075996,10.0725,10.0725,10.0725,10.0725,10.0725,10.0725,10.0725,10.0725,10.0725,10.0725,10.0725,1,1,1,1,1,1,1,1,1,1,1,9.63471,9.63471,9.63471,9.63471,9.63471,9.63471,9.63471,9.63471,9.63471,9.63471,9.63471,1,1,1,1,1,1,1,1,1,1,1,4.84069,4.84069,4.84069,4.84069,4.84069,4.84069,4.84069,4.84069,4.84069,4.84069,4.84069,1,1,1,1,1,1,1,1,1,1,1,0.873216,0.873216,0.873216,0.873216,0.873216,0.873216,0.873216,0.873216,0.873216,0.873216,0.873216,1,1,1,1,1,1,1,1,1,1,1,0.418554,0.418554,0.418554,0.418554,0.418554,0.418554,0.418554,0.418554,0.418554,0.418554,0.418554,1,1,1,1,1,1,1,1,1,1,1,0.200713,0.200713,0.200713,0.200713,0.200713,0.200713,0.200713,0.200713,0.200713,0.200713,0.200713,1,1,1,1,1,1,1,1,1,1,1,0.075996,0.075996,0.075996,0.075996,0.075996,0.075996,0.075996,0.075996,0.075996,0.075996,0.075996,1,1,1,1,1,1,1,1,1,1,1
"7","111.292",0.96842,0.0197203,7,127,0,-107.984,0.0170121,1.63681,0.332628,0.676922,0.0493919,1.01716,1.01716,5.13873,5.13873,1.39463,1.39463,1.96781,1.96781,9.58814,9.58814,8.95008,8.95008,4.52756,4.52756,1.65614,1.65614,1.14224,1.14224,0.795637,0.795637,0.496691,0.496691,9.58814,8.95008,4.52756,1.65614,1.14224,0.795637,0.496691,9.58814,9.58814,9.58814,9.58814,9.58814,9.58814,9.58814,9.58814,9.58814,9.58814,9.58814,1,1,1,1,1,1,1,1,1,1,1,8.95008,8.95008,8.95008,8.95008,8.95008,8.95008,8.95008,8.95008,8.95008,8.95008,8.95008,1,1,1,1,1,1,1,1,1,1,1,4.52756,4.52756,4.52756,4.52756,4.52756,4.52756,4.52756,4.52756,4.52756,4.52756,4.52756,1,1,1,1,1,1,1,1,1,1,1,1.65614,1.65614,1.65614,1.65614,1.65614,1.65614,1.65614,1.65614,1.65614,1.65614,1.65614,1,1,1,1,1,1,1,1,1,1,1,1.14224,1.14224,1.14224,1.14224,1.14224,1.14224,1.14224,1.14224,1.14224,1.14224,1.14224,1,1,1,1,1,1,1,1,1,1,1,0.795637,0.795637,0.795637,0.795637,0.795637,0.795637,0.795637,0.795637,0.795637,0.795637,0.795637,1,1,1,1,1,1,1,1,1,1,1,0.496691,0.496691,0.496691,0.496691,0.496691,0.496691,0.496691,0.496691,0.496691,0.496691,0.496691,1,1,1,1,1,1,1,1,1,1,1
"8","110.604",0.999923,0.0197203,6,127,0,-106.47,-6.83713e-05,2.18209,6.30052,-0.304446,0.0526233,0.999932,0.999932,8.86477,8.86477,544.854,544.854,0.737532,0.737532,8.76638,8.76638,8.28879,8.28879,3.46777,3.46777,0.390753,0.390753,0.152648,0.152648,0.0596355,0.0596355,0.017216,0.017216,8.76638,8.28879,3.46777,0.390753,0.152648,0.0596355,0.017216,8.76638,8.76638,8.76638,8.76638,8.76638,8.76638,8.76638,8.76638,8.76638,8.76638,8.76638,1,1,1,1,1,1,1,1,1,1,1,8.28879,8.28879,8.28879,8.28879,8.28879,8.28879,8.28879,8.28879,8.28879,8.28879,8.28879,1,1,1,1,1,1,1,1,1,1,1,3.46777,3.46777,3.46777,3.46777,3.46777,3.46777,3.46777,3.46777,3.46777,3.46777,3.46777,1,1,1,1,1,1,1,1,1,1,1,0.390753,0.390753,0.390753,0.390753,0.390753,0.390753,0.390753,0.390753,0.390753,0.390753,0.390753,1,1,1,1,1,1,1,1,1,1,1,0.152648,0.152648,0.152648,0.152648,0.152648,0.152648,0.152648,0.152648,0.152648,0.152648,0.152648,1,1,1,1,1,1,1,1,1,1,1,0.0596355,0.0596355,0.0596355,0.0596355,0.0596355,0.0596355,0.0596355,0.0596355,0.0596355,0.0596355,0.0596355,1,1,1,1,1,1,1,1,1,1,1,0.017216,0.017216,0.017216,0.017216,0.017216,0.017216,0.017216,0.017216,0.017216,0.017216,0.017216,1,1,1,1,1,1,1,1,1,1,1
"9","111.057",0.998496,0.0197203,7,191,0,-109.748,0.0168021,2.19983,2.34349,0.715826,0.0495544,1.01694,1.01694,9.02351,9.02351,10.4175,10.4175,2.04588,2.04588,9.42842,9.42842,9.22116,9.22116,6.58683,6.58683,2.94195,2.94195,2.09155,2.09155,1.48874,1.48874,0.950611,0.950611,9.42842,9.22116,6.58683,2.94195,2.09155,1.48874,0.950611,9.42842,9.42842,9.42842,9.42842,9.42842,9.42842,9.42842,9.42842,9.42842,9.42842,9.42842,1,1,1,1,1,1,1,1,1,1,1,9.22116,9.22116,9.22116,9.22116,9.22116,9.22116,9.22116,9.22116,9.22116,9.22116,9.22116,1,1,1,1,1,1,1,1,1,1,1,6.58683,6.58683,6.58683,6.58683,6.58683,6.58683,6.58683,6.58683,6.58683,6.58683,6.58683,1,1,1,1,1,1,1,1,1,1,1,2.94195,2.94195,2.94195,2.94195,2.94195,2.94195,2.94195,2.94195,2.94195,2.94195,2.94195,1,1,1,1,1,1,1,1,1,1,1,2.09155,2.09155,2.09155,2.09155,2.09155,2.09155,2.09155,2.09155,2.09155,2.09155,2.09155,1,1,1,1,1,1,1,1,1,1,1,1.48874,1.48874,1.48874,1.48874,1.48874,1.48874,1.48874,1.48874,1.48874,1.48874,1.48874,1,1,1,1,1,1,1,1,1,1,1,0.950611,0.950611,0.950611,0.950611,0.950611,0.950611,0.950611,0.950611,0.950611,0.950611,0.950611,1,1,1,1,1,1,1,1,1,1,1
"10","111.146",0.998858,0.0197203,7,255,0,-108.197,0.0151078,2.28625,3.67812,0.36747,0.0423157,1.01522,1.01522,9.838,9.838,39.572,39.572,1.44408,1.44408,9.94269,9.94269,9.65581,9.65581,6.14147,6.14147,2.00071,2.00071,1.23693,1.23693,0.765062,0.765062,0.405523,0.405523,9.94269,9.65581,6.14147,2.00071,1.23693,0.765062,0.405523,9.94269,9.94269,9.94269,9.94269,9.94269,9.94269,9.94269,9.94269,9.94269,9.94269,9.94269,1,1,1,1,1,1,1,1,1,1,1,9.65581,9.65581,9.65581,9.65581,9.65581,9.65581,9.65581,9.65581,9.65581,9.65581,9.65581,1,1,1,1,1,1,1,1,1,1,1,6.14147,6.14147,6.14147,6.14147,6.14147,6.14147,6.14147,6.14147,6.14147,6.14147,6.14147,1,1,1,1,1,1,1,1,1,1,1,2.00071,2.00071,2.00071,2.00071,2.00071,2.00071,2.00071,2.00071,2.00071,2.00071,2.00071,1,1,1,1,1,1,1,1,1,1,1,1.23693,1.23693,1.23693,1.23693,1.23693,1.23693,1.23693,1.23693,1.23693,1.23693,1.23693,1,1,1,1,1,1,1,1,1,1,1,0.765062,0.765062,0.765062,0.765062,0.765062,0.765062,0.765062,0.765062,0.765062,0.765062,0.765062,1,1,1,1,1,1,1,1,1,1,1,0.405523,0.405523,0.405523,0.405523,0.405523,0.405523,0.405523,0.405523,0.405523,0.405523,0.405523,1,1,1,1,1,1,1,1,1,1,1
